idna_subject,checker_type,destination,source,tested_at
www.support-access.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 23:17:59.745753
support-c9w5ngsuqkib6z.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 23:20:43.206746
support-it.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 23:23:27.302926
www.support-it.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 23:26:11.985309
support-mail-redirection.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 23:57:21.143996
www.support-mail-redirection.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 23:59:59.229890
support-pro.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 00:02:38.271890
www.support-pro.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 00:05:16.479522
support-tech.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 00:07:54.839865
www.support-tech.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 00:10:31.865393
support-wxm1o6wwi7qbqf6.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 00:13:09.045484
www.support-wxm1o6wwi7qbqf6.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-27 00:15:47.026014
